# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
4.89041e-06    	T              	2.9396713e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405396e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.92797e-06    	T              	2.9396680e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405442e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.96553e-06    	T              	2.9396646e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405487e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.0031e-06     	T              	2.9396613e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405533e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.04066e-06    	T              	2.9396580e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405578e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.07822e-06    	T              	2.9396546e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405623e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.11579e-06    	T              	2.9396513e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405667e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.15335e-06    	T              	2.9396479e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405711e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.19091e-06    	T              	2.9396445e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405755e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.22848e-06    	T              	2.9396412e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405798e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.26604e-06    	T              	2.9396378e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405841e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.3036e-06     	T              	2.9396344e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405884e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.34117e-06    	T              	2.9396311e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405927e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.37873e-06    	T              	2.9396277e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405969e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.41629e-06    	T              	2.9396243e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406012e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.45385e-06    	T              	2.9396209e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406055e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.49142e-06    	T              	2.9396175e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406098e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.52898e-06    	T              	2.9396141e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406141e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.56654e-06    	T              	2.9396107e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406184e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
5.60411e-06    	T              	2.9396073e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9406227e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
