# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
7.45715e-05    	(4.1516862e+01 -2.5576802e-03 -3.5435564e+01)	1.0837313e+05	2.9224126e+02	1.2889589e+00
7.49765e-05    	(4.1475597e+01 -2.4796509e-03 -3.5399504e+01)	1.0838134e+05	2.9224484e+02	1.2890408e+00
7.53815e-05    	(4.1443620e+01 -2.3128855e-03 -3.5371491e+01)	1.0838852e+05	2.9224762e+02	1.2891139e+00
7.57865e-05    	(4.1421484e+01 -2.0444468e-03 -3.5352012e+01)	1.0839461e+05	2.9224957e+02	1.2891778e+00
7.61916e-05    	(4.1409525e+01 -1.6631174e-03 -3.5341352e+01)	1.0839958e+05	2.9225065e+02	1.2892322e+00
7.65966e-05    	(4.1407898e+01 -1.2453201e-03 -3.5339570e+01)	1.0840341e+05	2.9225086e+02	1.2892769e+00
7.70016e-05    	(4.1416561e+01 -7.8297930e-04 -3.5346607e+01)	1.0840612e+05	2.9225019e+02	1.2893120e+00
7.74066e-05    	(4.1435141e+01 -2.7986556e-04 -3.5362174e+01)	1.0840774e+05	2.9224869e+02	1.2893379e+00
7.78116e-05    	(4.1462994e+01 2.5514044e-04 -3.5385775e+01)	1.0840834e+05	2.9224640e+02	1.2893551e+00
7.82167e-05    	(4.1499440e+01 8.2398551e-04 -3.5416846e+01)	1.0840798e+05	2.9224337e+02	1.2893642e+00
7.86217e-05    	(4.1543711e+01 1.4174093e-03 -3.5454685e+01)	1.0840677e+05	2.9223968e+02	1.2893659e+00
7.90267e-05    	(4.1594831e+01 2.0570264e-03 -3.5498446e+01)	1.0840479e+05	2.9223540e+02	1.2893613e+00
7.94317e-05    	(4.1651736e+01 2.7339503e-03 -3.5547221e+01)	1.0840216e+05	2.9223063e+02	1.2893511e+00
7.98367e-05    	(4.1713200e+01 3.4145331e-03 -3.5599953e+01)	1.0839903e+05	2.9222545e+02	1.2893365e+00
8.02418e-05    	(4.1777846e+01 4.0840781e-03 -3.5655434e+01)	1.0839553e+05	2.9222000e+02	1.2893189e+00
8.06468e-05    	(4.1844291e+01 4.7653401e-03 -3.5712455e+01)	1.0839181e+05	2.9221438e+02	1.2892994e+00
8.10518e-05    	(4.1911290e+01 5.4414962e-03 -3.5769937e+01)	1.0838802e+05	2.9220871e+02	1.2892793e+00
8.14568e-05    	(4.1977652e+01 6.0800791e-03 -3.5826885e+01)	1.0838428e+05	2.9220307e+02	1.2892596e+00
8.18618e-05    	(4.2042335e+01 6.6402526e-03 -3.5882435e+01)	1.0838071e+05	2.9219757e+02	1.2892414e+00
8.22669e-05    	(4.2104458e+01 7.1049368e-03 -3.5935870e+01)	1.0837741e+05	2.9219226e+02	1.2892254e+00
8.26719e-05    	(4.2163259e+01 7.4819054e-03 -3.5986569e+01)	1.0837445e+05	2.9218723e+02	1.2892123e+00
8.30769e-05    	(4.2218089e+01 7.7293550e-03 -3.6033918e+01)	1.0837192e+05	2.9218253e+02	1.2892029e+00
