# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
3.96837e-06    	N/A	8.8844027e-05	9.8245608e-04	9.0367556e-05	3.0079950e-04	7.2654822e-04	N/A
4.00509e-06    	N/A	8.8896427e-05	9.5302349e-04	9.0470417e-05	2.9151125e-04	7.1982468e-04	N/A
4.04182e-06    	N/A	8.8958556e-05	9.2499385e-04	9.0586411e-05	2.8301748e-04	7.1324731e-04	N/A
4.07854e-06    	N/A	8.9177745e-05	8.9685420e-04	9.0782727e-05	2.7534352e-04	7.0672623e-04	N/A
4.11526e-06    	N/A	8.9213340e-05	8.6944757e-04	9.0915741e-05	2.6815868e-04	7.0032209e-04	N/A
4.15199e-06    	N/A	8.9261540e-05	8.4329086e-04	9.1029477e-05	2.6773024e-04	6.9461615e-04	N/A
4.18871e-06    	N/A	8.9432710e-05	8.1755487e-04	9.1302090e-05	2.5790949e-04	6.8814133e-04	N/A
4.22544e-06    	N/A	8.9523510e-05	7.9213093e-04	9.1433397e-05	2.5010098e-04	6.8192924e-04	N/A
4.26216e-06    	N/A	8.9483449e-05	7.6775468e-04	9.1543001e-05	2.4543947e-04	6.7598276e-04	N/A
4.29889e-06    	N/A	8.9595909e-05	7.4463869e-04	9.1749937e-05	2.4143983e-04	6.6851522e-04	N/A
4.33561e-06    	N/A	8.9750412e-05	7.2254385e-04	9.2018065e-05	2.3772258e-04	6.5926423e-04	N/A
4.37233e-06    	N/A	8.9799812e-05	7.0184197e-04	9.2237407e-05	2.3581645e-04	6.5373328e-04	N/A
4.40906e-06    	N/A	8.9854193e-05	6.8264019e-04	9.2427432e-05	2.3154498e-04	6.4827989e-04	N/A
4.44578e-06    	N/A	8.9904533e-05	6.6451777e-04	9.2595282e-05	2.3242800e-04	6.4344893e-04	N/A
4.48251e-06    	N/A	8.9920561e-05	6.4774890e-04	9.2733064e-05	2.2614868e-04	6.3800329e-04	N/A
4.51923e-06    	N/A	8.9887604e-05	6.3110394e-04	9.2764969e-05	2.2126915e-04	6.3289658e-04	N/A
4.55595e-06    	N/A	8.9998927e-05	6.1504057e-04	9.2780707e-05	2.3274341e-04	6.2948388e-04	N/A
4.59268e-06    	N/A	9.0105600e-05	6.0031819e-04	9.2925350e-05	2.3771390e-04	6.2538651e-04	N/A
4.6294e-06     	N/A	9.0194986e-05	5.8682511e-04	9.3040630e-05	2.2530779e-04	6.1946614e-04	N/A
4.66613e-06    	N/A	8.9969848e-05	5.7264256e-04	9.2809729e-05	2.1120479e-04	6.1403625e-04	N/A
4.70285e-06    	N/A	8.9688316e-05	5.5862393e-04	9.2470765e-05	2.1534566e-04	6.1016961e-04	N/A
4.73957e-06    	N/A	8.9660501e-05	5.4624790e-04	9.2547508e-05	2.0912712e-04	6.0521625e-04	N/A
4.7763e-06     	N/A	8.9689450e-05	5.3391356e-04	9.2512714e-05	2.0305395e-04	6.0040153e-04	N/A
4.81302e-06    	N/A	8.9726868e-05	5.2200063e-04	9.2421898e-05	2.0017181e-04	5.9597144e-04	N/A
4.84975e-06    	N/A	8.9688440e-05	5.1101502e-04	9.2352074e-05	1.9791790e-04	5.9169971e-04	N/A
4.88647e-06    	N/A	8.9662631e-05	5.0033395e-04	9.2330649e-05	1.9564873e-04	5.8747346e-04	N/A
4.9232e-06     	N/A	8.9738663e-05	4.9007209e-04	9.2388604e-05	1.9604287e-04	5.8357219e-04	N/A
4.95992e-06    	N/A	8.9644652e-05	4.8058409e-04	9.2383236e-05	1.9870927e-04	5.7986397e-04	N/A
4.99664e-06    	N/A	8.9679089e-05	4.7153600e-04	9.2457634e-05	1.9137635e-04	5.7530705e-04	N/A
5.03337e-06    	N/A	8.9780000e-05	4.6246615e-04	9.2506684e-05	1.8970216e-04	5.7148206e-04	N/A
5.07009e-06    	N/A	8.9746533e-05	4.5391707e-04	9.2449352e-05	1.8786516e-04	5.6751031e-04	N/A
5.10682e-06    	N/A	8.9736030e-05	4.4565768e-04	9.2378148e-05	1.8639718e-04	5.6375514e-04	N/A
5.14354e-06    	N/A	8.9825106e-05	4.3766303e-04	9.2362091e-05	1.8323183e-04	5.5976434e-04	N/A
5.18026e-06    	N/A	8.9771675e-05	4.2990975e-04	9.2262981e-05	1.8526457e-04	5.5651956e-04	N/A
5.21699e-06    	N/A	8.9825403e-05	4.2243986e-04	9.2263139e-05	1.8891239e-04	5.5330790e-04	N/A
5.25371e-06    	N/A	9.0003037e-05	4.1533939e-04	9.2297780e-05	1.9029709e-04	5.4966241e-04	N/A
5.29044e-06    	N/A	9.0086093e-05	4.0845598e-04	9.2206962e-05	1.8918087e-04	5.4598058e-04	N/A
5.32716e-06    	N/A	9.0124636e-05	4.0172843e-04	9.2133635e-05	1.8143070e-04	5.4206629e-04	N/A
