# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0880706      	(9.4436249e+00 2.5517664e-01 -7.5946485e+00)	1.9974237e+05	2.9389168e+02	2.3623595e+00
0.0880709      	(9.2232566e+00 1.9739110e-01 -7.4099356e+00)	1.9977323e+05	2.9390468e+02	2.3626203e+00
0.0880713      	(8.9500249e+00 1.5294563e-01 -7.1722791e+00)	1.9980164e+05	2.9391663e+02	2.3628605e+00
0.0880717      	(8.6382249e+00 1.3310338e-01 -6.8879727e+00)	1.9982548e+05	2.9392667e+02	2.3630620e+00
0.0880721      	(8.2893524e+00 1.2062661e-01 -6.5758859e+00)	1.9984301e+05	2.9393404e+02	2.3632101e+00
0.0880725      	(7.9183549e+00 1.1913788e-01 -6.2306356e+00)	1.9985356e+05	2.9393847e+02	2.3632992e+00
0.0880728      	(7.5061457e+00 1.1116308e-01 -5.9137081e+00)	1.9985676e+05	2.9393982e+02	2.3633262e+00
0.0880732      	(7.0863040e+00 1.0180014e-01 -5.6178688e+00)	1.9985306e+05	2.9393826e+02	2.3632949e+00
0.0880736      	(6.6855754e+00 8.1849152e-02 -5.3527364e+00)	1.9984372e+05	2.9393432e+02	2.3632159e+00
0.088074       	(6.2696947e+00 6.4329342e-02 -5.1055594e+00)	1.9983040e+05	2.9392872e+02	2.3631034e+00
0.0880744      	(5.8953975e+00 4.0924354e-02 -4.8689796e+00)	1.9981506e+05	2.9392226e+02	2.3629737e+00
0.0880747      	(5.6015384e+00 3.5933338e-02 -4.6475458e+00)	1.9979886e+05	2.9391544e+02	2.3628368e+00
0.0880751      	(5.3516503e+00 1.5342396e-02 -4.4687012e+00)	1.9978244e+05	2.9390852e+02	2.3626980e+00
0.0880755      	(5.1377178e+00 -1.6173793e-02 -4.3297919e+00)	1.9976649e+05	2.9390180e+02	2.3625631e+00
0.0880759      	(4.9554085e+00 -5.5456838e-02 -4.2094916e+00)	1.9975178e+05	2.9389560e+02	2.3624387e+00
0.0880763      	(4.8038681e+00 -9.9660095e-02 -4.0988022e+00)	1.9973898e+05	2.9389021e+02	2.3623305e+00
0.0880767      	(4.6667951e+00 -1.5047393e-01 -3.9919428e+00)	1.9972869e+05	2.9388587e+02	2.3622434e+00
0.088077       	(4.5311784e+00 -2.0179373e-01 -3.8881882e+00)	1.9972160e+05	2.9388288e+02	2.3621834e+00
0.0880774      	(4.3877593e+00 -2.2437551e-01 -3.7831664e+00)	1.9971825e+05	2.9388146e+02	2.3621551e+00
0.0880778      	(4.2384798e+00 -2.5307885e-01 -3.6617757e+00)	1.9971888e+05	2.9388172e+02	2.3621603e+00
0.0880782      	(4.0915693e+00 -2.9060809e-01 -3.5168034e+00)	1.9972393e+05	2.9388384e+02	2.3622030e+00
0.0880786      	(3.9259983e+00 -2.9600902e-01 -3.3535350e+00)	1.9973378e+05	2.9388798e+02	2.3622862e+00
0.0880789      	(3.7440313e+00 -2.8620846e-01 -3.1934275e+00)	1.9974823e+05	2.9389406e+02	2.3624083e+00
0.0880793      	(3.5739667e+00 -2.7482408e-01 -3.0335565e+00)	1.9976652e+05	2.9390177e+02	2.3625630e+00
0.0880797      	(3.3957375e+00 -2.4469562e-01 -2.8943704e+00)	1.9978817e+05	2.9391088e+02	2.3627460e+00
0.0880801      	(3.2347804e+00 -2.3214677e-01 -2.7630886e+00)	1.9981223e+05	2.9392101e+02	2.3629494e+00
