# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
5.69472e-05    	(4.6273674e+01 -1.2708032e-01 -3.9499004e+01)	1.0767269e+05	2.9201371e+02	1.2816275e+00
5.73813e-05    	(4.6403677e+01 -1.2581825e-01 -3.9609279e+01)	1.0766071e+05	2.9200295e+02	1.2815321e+00
5.78154e-05    	(4.6536430e+01 -1.2459489e-01 -3.9722066e+01)	1.0764841e+05	2.9199194e+02	1.2814341e+00
5.82496e-05    	(4.6669610e+01 -1.2345714e-01 -3.9835442e+01)	1.0763607e+05	2.9198090e+02	1.2813356e+00
5.86837e-05    	(4.6801391e+01 -1.2247752e-01 -3.9947836e+01)	1.0762387e+05	2.9196997e+02	1.2812383e+00
5.91178e-05    	(4.6930566e+01 -1.2168733e-01 -4.0058185e+01)	1.0761193e+05	2.9195924e+02	1.2811434e+00
5.95519e-05    	(4.7056615e+01 -1.2111043e-01 -4.0166027e+01)	1.0760032e+05	2.9194877e+02	1.2810511e+00
5.99861e-05    	(4.7179320e+01 -1.2074002e-01 -4.0271177e+01)	1.0758905e+05	2.9193855e+02	1.2809618e+00
6.04202e-05    	(4.7298632e+01 -1.2054993e-01 -4.0373551e+01)	1.0757811e+05	2.9192860e+02	1.2808752e+00
6.08543e-05    	(4.7414930e+01 -1.2047137e-01 -4.0473418e+01)	1.0756746e+05	2.9191886e+02	1.2807911e+00
6.12884e-05    	(4.7529144e+01 -1.2038132e-01 -4.0571582e+01)	1.0755699e+05	2.9190927e+02	1.2807086e+00
6.17226e-05    	(4.7642373e+01 -1.2020506e-01 -4.0669007e+01)	1.0754658e+05	2.9189972e+02	1.2806265e+00
6.21567e-05    	(4.7755472e+01 -1.1988907e-01 -4.0766424e+01)	1.0753613e+05	2.9189014e+02	1.2805441e+00
6.25908e-05    	(4.7869345e+01 -1.1940561e-01 -4.0864561e+01)	1.0752555e+05	2.9188046e+02	1.2804606e+00
6.30249e-05    	(4.7984685e+01 -1.1869109e-01 -4.0963998e+01)	1.0751476e+05	2.9187062e+02	1.2803753e+00
6.34591e-05    	(4.8102066e+01 -1.1773988e-01 -4.1065220e+01)	1.0750369e+05	2.9186056e+02	1.2802877e+00
6.38932e-05    	(4.8221720e+01 -1.1656816e-01 -4.1168393e+01)	1.0749232e+05	2.9185026e+02	1.2801975e+00
6.43273e-05    	(4.8343652e+01 -1.1519904e-01 -4.1273508e+01)	1.0748065e+05	2.9183973e+02	1.2801046e+00
6.47615e-05    	(4.8467729e+01 -1.1367272e-01 -4.1380432e+01)	1.0746869e+05	2.9182898e+02	1.2800094e+00
6.51956e-05    	(4.8593595e+01 -1.1203474e-01 -4.1488829e+01)	1.0745648e+05	2.9181803e+02	1.2799120e+00
